City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
montrose,38.4166,-108.2673,60.01,21,1,8.05,US,1621056297
moose factory,51.2585,-80.6094,35.6,93,1,3.44,CA,1621056445
morondava,-20.2833,44.2833,75.51,62,3,6.8,MG,1621056448
mount gambier,-37.8333,140.7667,53.6,62,90,13.8,AU,1621056196
mount isa,-20.7333,139.5,78.8,17,0,14.97,AU,1621056322
mount pleasant,32.7941,-79.8626,61.0,100,1,7.85,US,1621056386
moussoro,13.6408,16.4901,86.14,25,11,7.02,TD,1621056463
muisne,0.6,-80.0333,74.73,90,100,7.54,EC,1621056288
mujiayingzi,42.1167,118.7833,53.94,27,100,5.84,CN,1621056286
murdochville,48.9583,-65.5006,46.4,66,17,6.91,CA,1621056329
nago,26.5881,127.9761,87.8,70,20,18.41,JP,1621056406
najran,17.4924,44.1277,89.6,18,20,5.75,SA,1621056447
nalut,30.3333,10.85,74.34,17,67,9.1,LY,1621056451
namatanai,-3.6667,152.4333,85.19,72,31,8.59,PG,1621056282
namibe,-15.1961,12.1522,76.64,51,2,5.68,AO,1621056385
nanortalik,60.1432,-45.2371,37.71,76,97,6.96,GL,1621056317
nantucket,41.2835,-70.0995,53.6,76,20,11.5,US,1621056215
napasar,27.9667,73.55,96.55,21,12,12.06,IN,1621056260
narsaq,60.9167,-46.05,39.2,33,70,13.8,GL,1621056283
naze,28.3667,129.4833,78.8,89,75,11.5,JP,1621056125
necochea,-38.5473,-58.7368,53.4,63,99,8.66,AR,1621056337
neuquen,-38.9516,-68.0591,39.2,93,0,6.42,AR,1621056199
new norfolk,-42.7826,147.0587,52.0,69,50,1.01,AU,1621056278
nikolskoye,59.7035,30.7861,64.0,63,0,6.71,RU,1621056355
nishihara,26.1842,127.7558,87.8,70,75,12.66,JP,1621056344
nizwa,22.9333,57.5333,93.49,18,0,1.48,OM,1621056256
nome,64.5011,-165.4064,59.0,44,1,16.11,US,1621056281
norden,53.6,7.2,48.99,84,92,5.01,DE,1621056429
norman wells,65.282,-126.8329,41.0,65,75,8.05,CA,1621056332
nortelandia,-14.4547,-56.8028,69.03,79,100,1.81,BR,1621056269
north bend,43.4065,-124.2243,48.99,100,90,17.27,US,1621056304
northam,51.0333,-4.2167,48.99,95,89,8.01,GB,1621056258
norwalk,33.9022,-118.0817,62.01,72,90,3.44,US,1621056237
novikovo,51.1537,37.8879,62.04,79,56,9.13,RU,1621056446
nueva gorgona,8.55,-79.8667,82.99,99,100,9.46,PA,1621056418
nuevo ideal,24.8875,-105.0728,64.53,42,12,5.82,MX,1621056450
nuuk,64.1835,-51.7216,32.0,93,100,8.05,GL,1621056263
okha,53.5739,142.9478,36.16,92,100,23.22,RU,1621056349
okhotsk,59.3833,143.3,34.5,96,100,8.1,RU,1621056400
oktyabrskoye,43.0645,44.7417,75.2,57,20,2.24,RU,1621056384
olafsvik,64.8945,-23.7142,38.8,72,14,11.9,IS,1621056423
omboue,-1.5746,9.2618,77.05,92,68,4.43,GA,1621056395
omsukchan,62.5333,155.8,31.01,73,94,1.41,RU,1621056429
onega,63.9061,38.1404,54.64,71,100,2.57,RU,1621056379
opuwo,-18.0607,13.84,58.44,45,2,2.95,NA,1621056364
orlik,52.5178,99.825,45.9,42,54,13.49,RU,1621056274
ostrovnoy,68.0531,39.5131,31.46,86,100,13.02,RU,1621056377
ouricuri,-7.8825,-40.0817,69.6,84,98,6.46,BR,1621056285
oxford,51.7522,-1.256,48.2,87,75,8.05,GB,1621056395
paamiut,61.994,-49.6678,36.93,62,72,9.17,GL,1621056405
pacifica,37.6138,-122.4869,52.0,93,90,14.97,US,1621056258
padang,-0.9492,100.3543,87.8,70,20,6.91,ID,1621056390
paita,-5.0892,-81.1144,69.13,79,64,10.76,PE,1621056420
pakxan,18.3778,103.6601,99.0,49,13,4.25,LA,1621056261
palau,7.503,134.621,77.0,94,90,4.61,PW,1621056388
pandamatenga,-18.5278,25.627,56.66,59,0,1.63,BW,1621056460
panguipulli,-39.6333,-72.3333,49.06,97,61,1.81,CL,1621056398
papara,-3.9839,-38.7273,75.2,94,40,10.36,BR,1621056412
peno,56.9262,32.7426,55.47,91,84,7.11,RU,1621056290
pevek,69.7008,170.3133,30.69,89,29,2.75,RU,1621056285
pirgos,35.1167,25.7178,73.0,55,0,10.36,GR,1621056366
pisco,-13.7,-76.2167,62.6,88,0,4.61,PE,1621056286
pithoragarh,29.5833,80.2167,75.99,35,22,1.36,IN,1621056410
pitrufquen,-38.9833,-72.65,48.2,100,90,1.48,CL,1621056414
pizarro,4.9533,-77.366,76.93,91,100,3.94,CO,1621056461
plettenberg bay,-34.0527,23.3716,60.44,70,78,4.41,ZA,1621056430
pochutla,15.7432,-96.4661,82.0,72,100,1.99,MX,1621056435
